type,scope,category,student,day,item,given,goal,song
material,global,Songs,,,Heartbreak,,,
material,global,Songs,,,Teardrop,,,
material,global,TAB and Song Books,,,Good Songbook,,,
material,global,Arpeggios,,,7th Arpeggios in G major.sib,,,
material,global,Arpeggios,,,String Arpeggio Exercise,,,
material,global,Chords,,,15 Common Bar Chords.pdf,,,
material,global,Chords,,,Chord Wheel 15B&,,,
material,global,Theory,,,Pentatonic Scale Resources,,,
material,global,Theory,,,Diatonic Scale Integration,,,
material,global,Rhythm,,,Power Rhythm,,,
material,global,Rhythm,,,Shuffle Rhythm,,,
material,global,Technique,,,Warm Up Exercises for Guitar,,,
material,global,Improvisation,,,Improv Ideas5,,,
material,global,Bonus Material,,,Chord Fluency Home Study Course,,,
